txid,store,productid,title,category_id,category,sales,price,commission,order_date,pid,affid1,status,added_at,last_updated
5iuis38pkt8c8,amazon,B07JVTFGVV,"Huggies Complete Comfort Wonder Pants, Extra Small (0-5kg) Size Baby Diaper Pants, (24 count) with 5 in 1 Comfort",75,Baby & Nursery,154.46,154.46,7.6,"2024-1-8, 00:00",pnb,pnb4847-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
2iopb3rs1bvj1,amazon,B07JVTFGVV,"Huggies Complete Comfort Wonder Pants, Extra Small (0-5kg) Size Baby Diaper Pants, (24 count) with 5 in 1 Comfort",75,Baby & Nursery,154.46,154.46,7.6,"2024-1-8, 00:00",pnb,pnb4847-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
drlqq9s8faege,amazon,B07JQTFM2V,"Ananda Pure Ghee Pack, 900ml",325,Grocery & Gourmet Food,409.82,409.82,26.89,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
7d6iruntjhm0p,amazon,B07JQTFM2V,"Ananda Pure Ghee Pack, 900ml",325,Grocery & Gourmet Food,409.82,409.82,26.89,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
6qisjc6jd21cn,amazon,B07D1CD9MX,Landline bill payment,644,Other,677.41,677.41,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
162sd22n8570l,amazon,B07D1CD9MX,Landline bill payment,644,Other,677.41,677.41,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
3h6kd3jgft9ke,amazon,B06XH9QPX2,"FORTUNE Fortune Oil, 1 L Pouch Premium Kachi Ghani Pure Mustard",325,Grocery & Gourmet Food,120.96,120.96,7.94,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
407m9dlq95dt6,amazon,B06XH9QPX2,"FORTUNE Fortune Oil, 1 L Pouch Premium Kachi Ghani Pure Mustard",325,Grocery & Gourmet Food,120.96,120.96,7.94,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
b29psp3accf21,amazon,B074N7X8XV,"Emami Healthy and Tasty Refined Rice Bran Oil Pouch, 1L",325,Grocery & Gourmet Food,100,100,6.56,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
3k7irkc72dv6d,amazon,B074N7X8XV,"Emami Healthy and Tasty Refined Rice Bran Oil Pouch, 1L",325,Grocery & Gourmet Food,100,100,6.56,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
c9scn1ukafn0a,amazon,B074N7X8XV,"Emami Healthy and Tasty Refined Rice Bran Oil Pouch, 1L",325,Grocery & Gourmet Food,101.9,101.9,6.68,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
368kuhomka4iv,amazon,B074N7X8XV,"Emami Healthy and Tasty Refined Rice Bran Oil Pouch, 1L",325,Grocery & Gourmet Food,101.9,101.9,6.68,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
219js4qqv8f5h,amazon,B07QP9PTZP,LPG cylinder booking,644,Other,910.1,910.1,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
b72eugh7urtlh,amazon,B07QP9PTZP,LPG cylinder booking,644,Other,910.1,910.1,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
e0p4bn5h3d17i,amazon,B07QP9PTZP,LPG cylinder booking,644,Other,910.1,910.1,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
dsq9s2ette1c9,amazon,B07QP9PTZP,LPG cylinder booking,644,Other,910.1,910.1,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
6jo50t38reomg,amazon,B07QP9PTZP,LPG cylinder booking,644,Other,910.1,910.1,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
