txid,store,productid,title,category_id,category,sales,price,commission,order_date,pid,affid1,status,added_at,last_updated
1escq2ab7sam,amazon,B07D1CMV1M,Gas bill payment,644,Other,"1,177","1,177",2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
7243m0mf9c970,amazon,B07CDY1XJZ,"Amazon Brand - Vedaka Vedaka Whole Jeera (Cumin), 100g",325,Grocery & Gourmet Food,94.28,94.28,6.18,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
77p3sfsklv89j,amazon,B07BL6YJB2,"Amazon Brand - Vedaka Popular Red Masoor Dal Split, 1kg|Rich in Protein|No Cholesterol|No Additives",325,Grocery & Gourmet Food,119.04,119.04,7.81,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
eungn6dh87tpj,amazon,B07BH5CR7P,Timex Analog Black Dial Men's Watch-TW000U934,241,Watches,"1,777.12","1,777.12",72.87,"2024-1-8, 00:00",ocd,ocddf-21,cancelled,"2024-1-9, 10:20","2024-1-9, 10:20"
d8nvnu4c98sk3,amazon,B079SBGWJR,DTH recharge,644,Other,370,370,2.46,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
eiuhrm22lobi7,amazon,B079H8D8M6,"Tata Sampann Turmeric Powder With Natural Oils, 200g",325,Grocery & Gourmet Food,48.58,48.58,3.19,"2024-1-8, 00:00",pnb,pnb4044-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
67tv4l5sr3cao,amazon,B06Y5QNWJQ,"Amazon Brand - Solimo Microfiber Reversible Comforter, Double (Vivid Pink & Majestic Purple, 200 GSM)",201,Home,"1,338.40","1,338.40",54.87,"2024-1-8, 00:00",pnb,pnb6941-21,cancelled,"2024-1-9, 10:20","2024-1-9, 10:20"
cu374287r1q37,amazon,B01N54ZM9W,ASIAN Asian shoes Men's Running Shoes Grey Firozi Mesh 8 UK/Indian,309,"Shoes, Handbags, Wallets, Sunglasses",534.82,534.82,21.93,"2024-1-8, 00:00",pnb,pnb7135-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
93rbhsqj6vrmb,amazon,B01LTHND2O,Amazon Pay balance: Money,610,Other,70,70,0,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
2m30sj90no0sm,amazon,B01DY8BZ4O,Kent Ro Spares: Inline Sediment Filter 10 inch & Pre Carbon Filter Set 8 inch,79,Kitchen & Dining,805.08,805.08,39.61,"2024-1-8, 00:00",scandid_web,shoppingwish-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
45262ln72li6e,amazon,B00L8X6944,"Intersand Cat Exclusive Scoopable Cat Litter, 10 kg",199,Pet Food & Supplies,"1,040.93","1,040.93",42.68,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
49tldn824p4lj,amazon,B00JURCVA6,Amazon Pay eGift Card --  Congratulations!,397,Other Gift Card Brands,200,200,0,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
2q2trbbpl4fm2,amazon,B005MMTON0,"Butterfly Curve Stainless Steel Pressure Cooker, 3 Litre",79,Kitchen & Dining,"1,426.79","1,426.79",70.2,"2024-1-8, 00:00",ocd,ocddf-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
3su3nnmqdvne6,amazon,8175351314,My Blue Book Of Grammer With Answer,14,Books & Textbooks,425,425,17.42,"2024-1-8, 00:00",bing,bgms-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
2lqb1ohn7allr,amazon,B0821XB1Q6,Insurance Premium Payment,644,Other,"8,019.34","8,019.34",2.46,"2024-1-8, 00:00",pnb,pnb1118-21,approved,"2024-1-9, 10:20","2024-1-9, 10:20"
